# buffer \t type \t expected-value \t error? \t comment
#
# To fully pass this conformance test you should verify that:
#
# 1. Each buffer contains exactly one item of the given type.
# 2. The value of that item matches the third column.
# 3. Writing the value into a buffer gives you the same buffer back again.
# 4. On rows marked "error", the exception message SHOULD match.
#   (while you can use different wording, the kind of error raised MUST be the same)
#
gA==	uint8	128	ok	A uint8 example
TQ==	uint8	77	ok	A uint8 example
AA==	uint8	0	ok	The lowest possible uint8
AQ==	uint8	1	ok	The next-lowest possible uint8
/g==	uint8	254	ok	The next-highest possible uint8
/w==	uint8	255	ok	The highest possible uint8
TTg=	uint8	Buffer too long	error	Trailing bytes
	uint8	Buffer too short	error	Empty buffer

AAABOHbFfDo=	time	2012-07-11T16:00:50.234Z	ok	A time example
AAAAAAAAAAA=	time	1970-01-01T00:00:00.000Z	ok	The earliest possible time
AAACAlfNCMQ=	time	2040-01-02T03:04:05.060Z	ok	A time after 2038 (http://en.wikipedia.org/wiki/Year_2038_problem)
AAD///////8=	time	10889-08-02T05:31:50.655Z	ok	Latest allowed time
AAEAAAAAAAA=	time	Invalid time	error	2**48 is disallowed for safe interoperability
//////////8=	time	Invalid time	error	2**64 is larger than many implementations can support
AAABOHb/OJBA	time	Buffer too long	error	Trailing bytes
T/2ycGI=	time	Buffer too short	error	5/8 bytes
T/2yRg==	time	Buffer too short	error	4/8 bytes
gA==	time	Buffer too short	error	1/8 bytes
	time	Buffer too short	error	0/8 bytes

BH8AAAE=	ip	127.0.0.1	ok	An IPv4 example (localhost)
BAgIBAQ=	ip	8.8.4.4	ok	An IPv4 example (google public DNS)
BgEnAAAAAAAAAAAAAAAAAAE=	ip	127::1	ok	An IPv6 example (localhost)
BiABSGBIYAAAAAAAAAAAiIg=	ip	2001:4860:4860::8888	ok	An IPv6 example (google public DNS)
BAAAAAA=	ip	0.0.0.0	ok	The first IPv4 address
BP////8=	ip	255.255.255.255	ok	The last IPv4 address
BgAAAAAAAAAAAAAAAAAAAAA=	ip	::	ok	The first IPv6 address
Bv////////////////////8=	ip	ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff	ok	The last IPv6 address
gkCIQAk=	ip	Unknown IP family: 130	error	only 4 and 6 are supported
BhCv8g==	ip	Buffer too short	error	IPv6 prefix, 3 / 16 bytes
BBCv	ip	Buffer too short	error	IPv4 prefix, 2 / 4 bytes
	ip	Buffer too short	error	Empty buffer
BAoAAARAhECB	ip	Buffer too long	error	IPv4 prefix
BhI0VngAAAAAAAAAAJh2VDJAhECB	ip	Buffer too long	error	IPv6 prefix

AAAAC2hlbGxvIHdvcmxk	string	hello world	ok	Example string
