# string \t errors \t valid \t comment
ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDWRR0JLyeB07SiqKzOhFKj90VJbhjDmZqaYIasL3BRFCjDHLWOtJmsOnXvlShRckk48jMU//vgHaOrWAqqI/4v04GxZ1jjgv/aTdlKN/zJ5jPz5FIxgayD+LY/SImtVbitllAVMbjHuE2vPXSJde+fYqqiqwEYHgEgU/ReRLH60SzN9lngnNDLhocxCiXxz5nTtNFI2Lwo1nn8sROnxhA3x1GmF4wlyyQgpM11FAK9Q94nBSkOjTix4MeQB+bcRrDAMj9PmWNoHlm7Dg6BzZZ9XbA8U6zryuP6rjl4EAo3r2grpq22Gy2XOuj0dy4qbCkwsIAN2U5H2cdHuQ3CwotP cirwin@cirwin-mn		ok	Public key with comment
ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDTIsReVTSx6qpLEmnWpz9oTUaI/QcmXhL/jgzLcBkGsnFTQM2xnb6S+0FZ3oOoGYegt4rwqZCejwmsHbIzOoGIym8fuvrxRW6ekTef+abCrnGuiglJozBZFzxBWwREcr68T0ES4jZCZvyStDUn7LIS4nQposD6Ui4gUlYiVqeYNCiItAe5+bdh7kx7X4ru89icCvN1V0LbMrK4F25161Pger/r4xVHZ/lc+kjpMoZrSierHP27BozKkZVMtfoG6gLDdoveBonFdiZH/VwOERssYuWI3SWdlC/hQQV60gnSVYroKkoQrqvlJ5AvevhJVMuMr2ZoJ6EYAcEQ8fZsC9Z5		ok	Public key with no comment
ssh-dss AAAAB3NzaC1kc3MAAACBAP+Lg6/a+DwoywOzdpVTGEzVB6snKXANYV50ntXWsCdOZvN3pTONEp6rUXgsCpckCYd22tVTGbD46JZUSfuVwjdsNwmES638zmLDIHM93klriljDn+cma/AHvw+2J/RUV9+jDT9SNxczlI949ELRmUdAL1ZiKXVAsVrJzjtIAt1FAAAAFQDsJ7TIwGPkKdgbcTYGnzCJowHmswAAAIBK86LiFwBgkkGvfPVEG09mOtlqVAlJFEqzVwIV2PBk+Qp06QDK0I2jnTlDaYiudWuSU16QE04DmoidTPreocbJ0PWWlWq3Vir0nPGH3hSe5Zdo7DDF2vb62ZFX6qjw+WPLsRRwJuc2ko8hpUnBLl0XJMUcvTdyD0vUHAROAOBJtgAAAIEA4Wtf5byQh7EeXNVmzMslAM+h5vrcM/ju5OtdQFPpWb387sTpZ/spBg0K8tJQtgrpkjvnWu3s2O/w6bcZYH1BdVRxYRty5U9GxXn4iH8ICh/wDefBHdDH+YUhYRDrrhaEuYwuIJIyIzFwfQa+dRgnYIKwmSRWihP7yl30rbWptZo= cirwin@cirwin-mn	Unsupported public key type	error	ssh-dss key
ssh-rsa AAAAB3NzaC1kc3MAAACBAN/m4vBC0dCcEmQEcKVeT2g2vaz6rM/8xYv2PSMgZO61ML7edBH3RSByUESpiYjzqLS/c6/xi9zUbPfmVpqPM09LGB0mvXz0OJZdz6W9+LUc7yCrTi89HBczT7bOh/9pNCdkgYkon+xUlKHzJTx+BLQe7bHnFof3sieRuisWVvpRAAAAFQCYY11JL1fdWvZ/G0cw2WagnyEqVQAAAIAgBPuv2T2ifE5GymAeV6eA9NzeW5uijPBmuh/ANR7weLvy4Q7f/HCRcBg1Phv4uhUkjrOAacZk72TmOekewL5qFYg1Uf5PPXkxVXn+N2yrAlPBKyYJo789qpltKPbyqNJiTwmRccqPQ/BasYN0pyRkfx/1F635AwvSZloqwlYQKAAAAIA0B25jAg6SULvIxbPuX2vb1qS0Eit1nnmGxpszqCd6snbq/KG3i4ArJ7KnuHXxZ7d/8Opu5QSPzrvWYkmKmYcZLT583QTjstU5JKKguNNn98kMokPtepWD+amWpOnE106MFCW48Bcgq0J0VW/haU5u/ZC3aHoay7J1+dx1qbndIA== cirwin@cirwin-mn	Public key type mismatch	error	This is an ssh-dss key with the wrong plain-text type
ssh-rsa AAAAB3NzaC1yc2EAAACBAN/m4vBC0dCcEmQEcKVeT2g2vaz6rM/8xYv2PSMgZO61ML7edBH3RSByUESpiYjzqLS/c6/xi9zUbPfmVpqPM09LGB0mvXz0OJZdz6W9+LUc7yCrTi89HBczT7bOh/9pNCdkgYkon+xUlKHzJTx+BLQe7bHnFof3sieRuisWVvpRAAAAFQCYY11JL1fdWvZ/G0cw2WagnyEqVQAAAIAgBPuv2T2ifE5GymAeV6eA9NzeW5uijPBmuh/ANR7weLvy4Q7f/HCRcBg1Phv4uhUkjrOAacZk72TmOekewL5qFYg1Uf5PPXkxVXn+N2yrAlPBKyYJo789qpltKPbyqNJiTwmRccqPQ/BasYN0pyRkfx/1F635AwvSZloqwlYQKAAAAIA0B25jAg6SULvIxbPuX2vb1qS0Eit1nnmGxpszqCd6snbq/KG3i4ArJ7KnuHXxZ7d/8Opu5QSPzrvWYkmKmYcZLT583QTjstU5JKKguNNn98kMokPtepWD+amWpOnE106MFCW48Bcgq0J0VW/haU5u/ZC3aHoay7J1+dx1qbndIA==	Buffer too long	error	This is an ssh-dss key with the wrong plain-text and embedded type
ssh-rsa AAAAB3NzaC1yc2EAAAADAQAB	Buffer too short	error	Only the exponent is present, no product
ssh-rsa	Badly formatted public key	error	Type only, no key
ssh-rsa AAAAB3NzaC1yc2EJQQ==	Buffer too short	Invalid mpint for exponent

# TODO: these tests should (also?) be somewhere else, they verify that the buffer api validates incoming base64
